ProductID,ProductName,Category,UnitPrice
2000,Signal,Electronics,969.31
2001,Boost,Electronics,412.35
2002,Family,Office,866.0
2003,Training,Electronics,385.18
2004,Where,Office,927.25
2005,Huge,Office,428.78
2006,Class,Office,198.0
2007,Over,Clothing,583.39
2008,Skin,Electronics,66.59
2009,Raise,Office,66.31
2010,Themselves,Electronics,77.84
2011,Religious,Electronics,409.74
2012,Artist,Clothing,623.19
2013,Cultural,Office,935.36
2014,Eat,Clothing,246.3
2015,Itself,Office,674.97
2016,He,Home,323.02
2017,Feeling,Electronics,463.7
2018,Nature,Electronics,542.26
2019,History,Home,933.93
2020,Share,Electronics,375.83
2021,Skill,Clothing,835.41
2022,Economy,Home,671.18
2023,Yeah,Home,939.54
2024,Paper,Clothing,124.27
2025,Assume,Electronics,279.62
2026,Use,Clothing,211.56
2027,Purpose,Home,258.61
2028,Take,Electronics,637.94
2029,Yourself,Home,13.51
2030,First,Clothing,169.97
2031,Develop,Office,565.3
2032,There,Electronics,945.6
2033,Argue,Clothing,836.25
2034,Feel,Clothing,136.17
2035,According,Home,899.99
2036,Candidate,Electronics,217.98
2037,Meeting,Clothing,360.14
2038,Soon,Office,926.51
2039,Need,Clothing,976.44
2040,Determine,Clothing,34.54
2041,Assume,Home,804.21
2042,Lawyer,Clothing,167.61
2043,Practice,Electronics,873.45
2044,Society,Office,207.58
2045,Next,Office,312.14
2046,Worry,Clothing,33.43
2047,Hair,Clothing,334.98
2048,Candidate,Electronics,357.63
2049,Easy,Office,939.84
2050,Young,Electronics,186.78
2051,Century,Home,117.32
2052,Year,Office,731.26
2053,Ground,Home,610.15
2054,Above,Electronics,900.51
2055,Politics,Clothing,53.94
2056,About,Office,524.72
2057,Identify,Clothing,436.98
2058,Wear,Home,666.75
2059,Clear,Electronics,512.05
2060,Term,Office,408.38
2061,Quite,Home,199.92
2062,Receive,Office,619.36
2063,Good,Home,552.46
2064,Stop,Electronics,294.04
2065,Animal,Office,470.34
2066,Occur,Office,516.06
2067,Remain,Clothing,290.95
2068,Read,Home,820.24
2069,Garden,Clothing,232.39
2070,About,Clothing,34.18
2071,Success,Clothing,615.16
2072,Become,Electronics,420.3
2073,Executive,Clothing,499.43
2074,Strong,Clothing,659.5
2075,Letter,Electronics,780.64
2076,Affect,Clothing,806.07
2077,Ball,Office,561.83
2078,Film,Electronics,142.01
2079,Who,Office,950.54
2080,Doctor,Office,832.26
2081,Light,Office,746.22
2082,Figure,Office,266.6
2083,Cut,Clothing,768.16
2084,Stuff,Office,281.85
2085,Officer,Electronics,242.15
2086,Of,Home,894.1
2087,Rather,Electronics,159.32
2088,Evening,Office,709.35
2089,Action,Electronics,413.52
2090,Staff,Office,71.64
2091,Mrs,Office,905.79
2092,Add,Electronics,482.21
2093,Real,Home,755.94
2094,Fight,Office,493.35
2095,Seem,Home,490.79
2096,Discuss,Office,672.18
2097,Recent,Office,842.1
2098,Trouble,Clothing,907.86
2099,Several,Electronics,646.32
