productid,category,name,unitprice($),averagequalityrating,qualityrating,unitcost($)
2001,electronics,boost,412.35,1,good,398.56
2002,office,family,866.0,3,very good,514.33
2003,electronics,training,385.18,5,excellent,363.04
2004,office,where,927.25,4,excellent,716.46
2005,office,huge,428.78,3,very good,268.13
2006,office,class,198.0,4,excellent,179.22
2007,clothing,over,583.39,2,good,372.27
2008,electronics,skin,66.59,5,excellent,40.64
2009,office,raise,66.31,3,very good,41.97
2010,electronics,themselves,77.84,2,good,9.36
2011,electronics,religious,409.74,2,good,367.92
2012,clothing,artist,623.19,2,good,94.54
2013,office,cultural,935.36,1,good,64.32
2014,clothing,eat,246.3,2,good,4.46
2015,office,itself,674.97,5,excellent,496.82
2016,home,he,323.02,3,very good,169.08
2017,electronics,feeling,463.7,1,good,378.29
2018,electronics,nature,542.26,1,good,541.71
2019,home,history,933.93,4,excellent,205.43
2020,electronics,share,375.83,4,excellent,294.01
2021,clothing,skill,835.41,1,good,440.63
2022,home,economy,671.18,5,excellent,632.73
2023,home,yeah,939.54,2,good,724.03
2024,clothing,paper,124.27,1,good,0.33
2025,electronics,assume,279.62,5,excellent,8.8
2026,clothing,use,211.56,2,good,126.62
2027,home,purpose,258.61,5,excellent,5.73
2028,electronics,take,637.94,1,good,45.08
2029,home,yourself,13.51,2,good,1.15
2030,clothing,first,169.97,5,excellent,106.97
2031,office,develop,565.3,1,good,475.68
2032,electronics,there,945.6,1,good,203.48
2033,clothing,argue,836.25,5,excellent,32.95
2034,clothing,feel,136.17,1,good,21.02
2035,home,according,899.99,3,very good,491.92
2036,electronics,candidate,217.98,1,good,25.25
2037,clothing,meeting,360.14,3,very good,118.88
2038,office,soon,926.51,5,excellent,314.59
2039,clothing,need,976.44,4,excellent,848.45
2040,clothing,determine,34.54,2,good,6.54
2041,home,assume,804.21,3,very good,310.2
2042,clothing,lawyer,167.61,2,good,133.21
2043,electronics,practice,873.45,5,excellent,607.44
2044,office,society,207.58,4,excellent,43.63
2045,office,next,312.14,4,excellent,298.1
2046,clothing,worry,33.43,3,very good,7.35
2047,clothing,hair,334.98,3,very good,268.46
2048,electronics,candidate,357.63,3,very good,216.14
2049,office,easy,939.84,4,excellent,587.31
2050,electronics,young,186.78,4,excellent,168.32
2051,home,century,117.32,5,excellent,106.08
2052,office,year,731.26,1,good,393.55
2053,home,ground,610.15,1,good,160.69
2054,electronics,above,900.51,2,good,891.59
2055,clothing,politics,53.94,3,very good,19.49
2056,office,about,524.72,5,excellent,168.76
2057,clothing,identify,436.98,3,very good,77.25
2058,home,wear,666.75,3,very good,658.84
2059,electronics,clear,512.05,1,good,424.97
2060,office,term,408.38,1,good,403.34
2061,home,quite,199.92,5,excellent,113.57
2062,office,receive,619.36,5,excellent,475.27
2063,home,good,552.46,2,good,286.01
2064,electronics,stop,294.04,1,good,49.17
2065,office,animal,470.34,4,excellent,137.42
2066,office,occur,516.06,5,excellent,58.95
2067,clothing,remain,290.95,3,very good,185.39
2068,home,read,820.24,1,good,744.19
2069,clothing,garden,232.39,5,excellent,99.95
2070,clothing,about,34.18,3,very good,26.11
2071,clothing,success,615.16,3,very good,84.7
2072,electronics,become,420.3,3,very good,21.78
2073,clothing,executive,499.43,1,good,43.61
2074,clothing,strong,659.5,1,good,567.79
2075,electronics,letter,780.64,4,excellent,768.12
2076,clothing,affect,806.07,5,excellent,763.35
2077,office,ball,561.83,4,excellent,455.66
2078,electronics,film,142.01,5,excellent,38.72
2079,office,who,950.54,4,excellent,391.16
2080,office,doctor,832.26,5,excellent,749.66
2081,office,light,746.22,3,very good,78.83
2082,office,figure,266.6,4,excellent,223.21
2083,clothing,cut,768.16,3,very good,250.09
2084,office,stuff,281.85,5,excellent,48.92
2085,electronics,officer,242.15,1,good,238.33
2086,home,of,894.1,2,good,273.49
2087,electronics,rather,159.32,2,good,52.8
2088,office,evening,709.35,2,good,454.84
2089,electronics,action,413.52,5,excellent,52.35
2090,office,staff,71.64,5,excellent,64.36
2091,office,mrs,905.79,1,good,779.79
2092,electronics,add,482.21,5,excellent,105.57
2093,home,real,755.94,2,good,153.02
2094,office,fight,493.35,1,good,166.75
2095,home,seem,490.79,2,good,291.28
2096,office,discuss,672.18,5,excellent,90.0
2097,office,recent,842.1,1,good,394.67
2098,clothing,trouble,907.86,4,excellent,381.82
2099,electronics,several,646.32,3,very good,72.77
