TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount($),SalesCampaignType,TransactionTimeMinutes
1,1/9/2025,1020,2023,401,0,643.02,Clearance,29
2,7/10/2024,1034,2091,404,2,529.24,Manager's Special,8
3,3/22/2025,1087,2035,403,3,4313.72,Customer Appreciation,8
4,12/27/2024,1186,2015,404,,1275.85,Clearance,15
5,4/21/2025,1049,2005,402,0,1739.64,Clearance,18
6,10/30/2024,1093,2054,402,0,1270.12,Clearance,13
7,2/20/2025,1005,2097,402,0,644.45,Clearance,17
8,10/5/2024,1054,2072,403,3,1833.37,Customer Appreciation,5
9,11/22/2024,1063,2068,403,3,828.83,Customer Appreciation,4
10,8/30/2024,1130,2096,401,1,1594.55,Rollback,11
11,11/11/2024,1005,2059,403,0,273.38,Clearance,23
12,4/21/2025,1196,2014,403,3,0,Customer Appreciation,10
13,2/16/2025,1128,2064,401,2,1039.94,Manager's Special,4
14,8/22/2024,1041,2099,401,3,1861.74,Customer Appreciation,27
15,4/19/2025,1078,2035,401,3,4900.93,Customer Appreciation,12
16,12/11/2024,1032,2021,403,3,1861.38,Customer Appreciation,7
17,3/2/2025,1182,2040,404,3,41.46,Customer Appreciation,21
18,10/14/2024,1058,2000,401,0,1815.57,Clearance,22
19,4/12/2025,1071,2091,402,3,2628.38,Customer Appreciation,5
20,11/7/2024,1005,2052,404,0,1969.12,Clearance,30
21,7/12/2024,1086,2013,402,3,1325.7,Customer Appreciation,29
22,11/22/2024,1019,2070,401,,127.04,Clearance,25
23,5/21/2025,1060,2091,404,3,1240.87,Customer Appreciation,6
24,6/1/2024,1116,2097,404,2,763.17,Manager's Special,14
25,2/22/2025,1089,2039,404,1,2785.23,Rollback,21
26,4/9/2025,1066,2030,404,1,127.5,Rollback,7
27,7/5/2024,1144,2033,402,2,821.78,Manager's Special,2
28,1/24/2025,1080,2009,401,0,39.84,Clearance,25
29,9/17/2024,1017,2047,403,2,1975.1,Manager's Special,4
30,1/16/2025,1020,2013,402,0,1199.52,Clearance,19
31,9/23/2024,1089,2041,404,0,2406.09,Clearance,8
32,9/21/2024,1116,2033,402,3,268.15,Customer Appreciation,6
33,5/13/2025,1038,2047,402,0,1803.01,Clearance,7
34,3/19/2025,1091,2035,401,3,3872.65,Customer Appreciation,19
35,5/6/2025,1116,2022,404,,697.76,Clearance,13
36,5/8/2025,1188,2034,402,0,125.51,Clearance,7
37,11/25/2024,1032,2029,402,,55.96,Clearance,16
38,4/13/2025,1071,2065,404,2,274.92,Manager's Special,8
39,5/22/2025,1020,2039,404,2,4929.06,Manager's Special,8
40,7/19/2024,1048,2079,401,1,814.88,Rollback,7
41,1/21/2025,1080,2015,403,3,1409.56,Customer Appreciation,26
42,12/15/2024,1005,2022,403,0,459.86,Clearance,28
43,3/15/2025,1082,2056,402,1,603.38,Rollback,23
44,1/21/2025,1023,2096,402,1,337.34,Rollback,12
45,6/21/2024,1156,2009,404,1,63.76,Rollback,18
46,11/5/2024,1034,2098,401,1,1918.03,Rollback,28
47,12/7/2024,1071,2015,404,3,1976.39,Customer Appreciation,5
48,12/26/2024,1113,2092,404,3,1500.13,Customer Appreciation,16
49,11/26/2024,1063,2035,404,2,3710.95,Manager's Special,25
50,9/5/2024,1138,2023,402,1,789.03,Rollback,22
51,11/7/2024,1106,2079,404,0,3945.18,Clearance,12
52,10/30/2024,1089,2079,404,1,1728.21,Rollback,14
53,11/29/2024,1171,2051,402,1,1091.54,Rollback,11
54,4/29/2025,1169,2079,402,1,2205.97,Rollback,22
55,8/27/2024,1194,2035,404,0,3870.61,Clearance,26
56,6/22/2024,1057,2099,401,1,89.74,Rollback,17
57,8/3/2024,1066,2027,404,2,1234.13,Manager's Special,26
58,2/28/2025,1116,2013,401,3,3717.57,Customer Appreciation,17
59,7/3/2024,1160,2041,401,0,2427.7,Clearance,11
60,10/26/2024,1087,2079,404,2,4229.18,Manager's Special,10
61,2/9/2025,1187,2083,403,3,1660.18,Customer Appreciation,21
62,12/25/2024,1062,2011,403,1,1161.21,Rollback,9
63,1/23/2025,1126,2023,404,2,4461.44,Manager's Special,25
64,2/7/2025,1002,2024,401,3,1528.42,Customer Appreciation,20
65,2/2/2025,1125,2002,401,3,647.1,Customer Appreciation,14
66,12/21/2024,1135,2070,403,3,45.2,Customer Appreciation,10
67,7/20/2024,1066,2097,402,3,3153.14,Customer Appreciation,15
68,3/5/2025,1025,2037,402,2,1091.56,Manager's Special,24
69,9/20/2024,1141,2023,404,0,2612.29,Clearance,15
70,11/16/2024,1034,2091,401,3,3096.6,Customer Appreciation,29
71,1/31/2025,1020,2035,401,3,4058.33,Customer Appreciation,4
72,9/1/2024,1115,2038,404,0,1493.17,Clearance,20
73,5/14/2025,1071,2019,402,0,2338.33,Clearance,13
74,2/1/2025,1008,2041,404,,1690.5,Clearance,27
75,3/16/2025,1050,2069,402,2,189.25,Manager's Special,25
76,8/9/2024,1191,2036,404,2,1888.22,Manager's Special,14
77,12/3/2024,1020,2055,403,0,1925.73,Clearance,22
78,4/3/2025,1005,2086,403,1,1320.44,Rollback,6
79,5/2/2025,1005,2062,401,3,1356.76,Customer Appreciation,17
80,4/11/2025,1177,2084,404,0,663.31,Clearance,6
81,10/9/2024,1103,2000,404,1,1264.14,Rollback,16
82,12/2/2024,1013,2097,402,3,2681.2,Customer Appreciation,19
83,6/13/2024,1061,2039,401,0,4286.33,Clearance,18
84,7/18/2024,1165,2063,403,2,990.87,Manager's Special,17
85,11/25/2024,1037,2076,402,2,1716.1,Manager's Special,2
86,10/15/2024,1068,2036,403,3,920.77,Customer Appreciation,28
87,11/29/2024,1195,2058,403,1,505.45,Rollback,20
88,3/11/2025,1032,2048,404,1,122.19,Rollback,29
89,12/3/2024,1025,2056,401,3,331.1,Customer Appreciation,22
90,4/16/2025,1019,2033,403,3,1710.94,Customer Appreciation,7
91,4/9/2025,1097,2080,404,0,507.8,Clearance,25
92,1/31/2025,1058,2055,401,0,1403.3,Clearance,21
93,4/28/2025,1034,2054,404,3,4066.34,Customer Appreciation,22
94,8/10/2024,1005,2030,404,1,1293.91,Rollback,3
95,11/22/2024,1119,2086,402,,1975.92,Clearance,30
96,9/30/2024,1176,2041,402,3,2216.14,Customer Appreciation,20
97,10/22/2024,1179,2079,403,,4002.4,Clearance,15
98,5/23/2025,1190,2036,402,2,420.76,Manager's Special,27
99,9/11/2024,1196,2017,401,0,909.61,Clearance,11
100,12/21/2024,1023,2041,404,1,4444.07,Rollback,30
101,10/25/2024,1069,2032,404,2,710.49,Manager's Special,29
102,7/19/2024,1036,2028,404,2,819.42,Manager's Special,19
103,9/16/2024,1089,2086,403,2,505.95,Manager's Special,11
104,6/11/2024,1143,2070,402,3,52.31,Customer Appreciation,27
105,11/7/2024,1034,2046,401,1,61.94,Rollback,7
106,5/15/2025,1138,2095,402,0,1250.52,Clearance,25
107,5/10/2025,1176,2056,404,2,1387.08,Manager's Special,3
108,12/13/2024,1091,2041,402,3,1454.48,Customer Appreciation,11
109,1/9/2025,1012,2031,402,1,1542.06,Rollback,10
110,8/24/2024,1071,2029,401,1,85.63,Rollback,28
111,3/20/2025,1034,2054,402,0,735.8,Clearance,15
112,2/25/2025,1190,2091,403,0,1496.97,Clearance,22
113,12/30/2024,1168,2058,401,,833.15,Clearance,16
114,1/31/2025,1113,2019,403,0,3309.43,Clearance,3
115,12/23/2024,1097,2067,403,3,1418.47,Customer Appreciation,16
116,4/9/2025,1196,2027,404,1,1663.47,Rollback,6
117,11/4/2024,1080,2085,403,1,974.82,Rollback,24
118,7/9/2024,1005,2054,402,2,2348.64,Manager's Special,11
119,4/17/2025,1108,2092,401,2,1176.94,Manager's Special,22
120,8/27/2024,1057,2044,403,2,1624.08,Manager's Special,2
121,4/6/2025,1159,2082,401,2,582.88,Manager's Special,13
122,3/6/2025,1089,2023,404,,4873.15,Clearance,19
123,7/9/2024,1096,2043,402,2,1156.81,Manager's Special,17
124,7/6/2024,1116,2006,401,3,911.99,Customer Appreciation,17
125,9/20/2024,1029,2009,403,3,53.18,Customer Appreciation,17
126,8/30/2024,1014,2041,402,2,1039.93,Manager's Special,5
127,12/2/2024,1033,2090,402,2,1730.44,Manager's Special,5
128,6/19/2024,1066,2073,404,3,839.81,Customer Appreciation,21
129,5/20/2025,1032,2046,401,0,92.44,Clearance,26
130,12/8/2024,1079,2028,403,0,272.35,Clearance,14
131,12/6/2024,1089,2082,402,1,388.32,Rollback,12
132,8/3/2024,1019,2091,404,3,4469.22,Customer Appreciation,16
133,1/11/2025,1082,2080,403,0,1281.2,Clearance,30
134,3/19/2025,1090,2039,404,0,1791.85,Clearance,2
135,1/11/2025,1023,2064,404,0,1629.14,Clearance,26
136,1/15/2025,1121,2007,404,2,214.44,Manager's Special,29
137,1/12/2025,1032,2067,402,2,1560.21,Manager's Special,25
138,1/28/2025,1089,2019,404,1,3122.33,Rollback,18
139,7/29/2024,1167,2050,402,0,784.52,Clearance,14
140,3/17/2025,1171,2094,401,3,85.55,Customer Appreciation,19
141,10/4/2024,1087,2062,402,1,626.79,Rollback,12
142,3/15/2025,1138,2067,401,1,350.79,Rollback,2
143,8/15/2024,1159,2021,404,,1453.19,Clearance,12
144,5/22/2025,1192,2057,402,2,1579.52,Manager's Special,18
145,4/28/2025,1032,2036,404,3,1642.94,Customer Appreciation,15
146,3/21/2025,1020,2091,403,0,2821.59,Clearance,3
147,7/22/2024,1116,2097,402,0,1499.17,Clearance,3
148,11/19/2024,1006,2050,403,0,104.97,Clearance,23
149,5/8/2025,1166,2029,402,,76.14,Clearance,19
150,4/1/2025,1120,2000,401,,341.56,Clearance,25
151,5/10/2025,1108,2041,402,0,3375.28,Clearance,9
152,1/2/2025,1032,2002,402,2,1248.88,Manager's Special,30
153,9/7/2024,1170,2067,403,,1039.29,Clearance,28
154,5/28/2025,1099,2005,404,2,746.33,Manager's Special,15
155,6/29/2024,1066,2094,403,2,1636.34,Manager's Special,27
156,8/12/2024,1118,2061,402,0,1890.03,Clearance,20
157,6/16/2024,1071,2040,403,3,115.46,Customer Appreciation,29
158,8/18/2024,1199,2054,403,2,2300.1,Manager's Special,6
159,11/16/2024,1086,2063,404,2,1467.81,Manager's Special,6
160,7/4/2024,1046,2041,401,2,3211.8,Manager's Special,10
161,11/12/2024,1089,2093,403,3,1961.05,Customer Appreciation,2
162,5/14/2025,1005,2095,402,1,1372.27,Rollback,30
163,11/16/2024,1071,2046,403,0,105.07,Clearance,18
164,5/14/2025,1195,2023,403,2,1010.52,Manager's Special,4
165,2/22/2025,1099,2015,403,3,1243.16,Customer Appreciation,29
166,2/4/2025,1051,2019,404,3,4147.31,Customer Appreciation,3
167,5/21/2025,1170,2009,403,1,139.83,Rollback,8
168,1/9/2025,1130,2035,402,3,2993.1,Customer Appreciation,27
169,10/26/2024,1141,2019,401,3,3961.24,Customer Appreciation,8
170,3/29/2025,1089,2057,404,2,1666.65,Manager's Special,6
171,12/14/2024,1196,2055,401,1,365.84,Rollback,6
172,5/9/2025,1020,2032,402,2,640.51,Manager's Special,30
173,12/11/2024,1043,2074,402,2,1149.06,Manager's Special,17
174,3/29/2025,1034,2098,403,3,109.06,Customer Appreciation,20
175,4/23/2025,1164,2061,402,3,192.3,Customer Appreciation,19
176,6/26/2024,1123,2043,402,2,1728.52,Manager's Special,28
177,5/23/2025,1089,2013,403,0,1615.63,Clearance,5
178,7/12/2024,1098,2053,402,1,1870.82,Rollback,22
179,2/15/2025,1116,2065,404,2,225.6,Manager's Special,26
180,11/2/2024,1061,2054,401,,4470.53,Clearance,2
181,1/16/2025,1137,2019,404,2,3937.36,Manager's Special,8
182,10/25/2024,1145,2046,403,,117.02,Clearance,20
183,9/22/2024,1174,2016,401,2,762.93,Manager's Special,24
184,7/31/2024,1102,2005,401,2,1062.7,Manager's Special,11
185,8/2/2024,1035,2070,403,2,81.02,Manager's Special,13
186,12/5/2024,1144,2013,403,0,3126.66,Clearance,20
187,3/19/2025,1176,2076,404,1,1187.87,Rollback,6
188,8/10/2024,1158,2048,402,1,1899,Rollback,13
189,7/17/2024,1089,2052,402,3,1484.88,Customer Appreciation,6
190,6/27/2024,1071,2084,404,2,946.34,Manager's Special,16
191,12/11/2024,1173,2092,403,1,594.06,Rollback,24
192,9/29/2024,1076,2090,402,3,730.17,Customer Appreciation,14
193,5/9/2025,1070,2039,404,3,4795.74,Customer Appreciation,19
194,3/22/2025,1073,2010,403,2,467.27,Manager's Special,12
195,3/31/2025,1143,2017,401,1,1356.18,Rollback,14
196,12/10/2024,1013,2054,404,1,0,Rollback,12
197,12/14/2024,1104,2060,404,2,1309.5,Manager's Special,28
198,4/30/2025,1071,2092,401,1,1683.33,Rollback,24
199,5/9/2025,1005,2023,403,0,3212.52,Clearance,25
200,5/7/2025,1116,2069,404,1,962.64,Rollback,2
201,8/19/2024,1116,2082,403,0,1592,Clearance,28
202,12/19/2024,1044,2081,404,2,1355.05,Manager's Special,5
203,8/16/2024,1089,2000,403,3,1910.37,Customer Appreciation,19
204,10/1/2024,1002,2054,402,,1880.63,Clearance,10
205,11/7/2024,1180,2088,401,2,480.66,Manager's Special,23
206,5/17/2025,1116,2077,403,3,1613.89,Customer Appreciation,5
207,3/29/2025,1174,2010,404,2,1150.13,Manager's Special,19
208,6/27/2024,1129,2097,402,3,1424.31,Customer Appreciation,19
209,12/22/2024,1032,2058,402,3,1139.65,Customer Appreciation,21
210,1/25/2025,1005,2000,402,0,1415.75,Clearance,11
211,12/13/2024,1066,2060,401,1,1543.36,Rollback,15
212,5/24/2025,1107,2048,404,3,1381.32,Customer Appreciation,10
213,1/19/2025,1167,2015,402,3,1469.32,Customer Appreciation,2
214,8/31/2024,1034,2059,404,1,725.01,Rollback,18
215,9/21/2024,1185,2004,404,0,181.22,Clearance,14
216,12/25/2024,1172,2006,402,3,1102.53,Customer Appreciation,16
217,3/2/2025,1035,2037,402,2,1556.45,Manager's Special,28
218,3/28/2025,1116,2066,402,2,1899.61,Manager's Special,29
